candidate_id,family,hole_count,hole_diameter_mm,min_distance_mm,total_open_area_mm2,support_mode,angle_set,angle_indices,throughput_detection_phantom,throughput_lumpy_phantom,throughput_heldout_phantom,comments,json_path,sensitivity_mean,sensitivity_cv,sensitivity_min_over_mean,active_voxel_fraction,roi_sensitivity_mean,roi_sensitivity_cv,roi_active_voxel_fraction,global_truncation_physical_mean,global_truncation_physical_p95,global_truncation_padded_mean,roi_truncation_physical_mean,roi_truncation_physical_p95,roi_truncation_padded_mean,overlap_mean,overlap_max,overlap_high_fraction,global_coherence_max,global_coherence_p95,roi_coherence_max,roi_coherence_p95,task_fisher_d2_mean,task_fisher_d2_min,task_crlb_mean,task_crlb_max,ranking_score
blue_noise_n7_d1d25_mind3_s0,blue_noise,7,1.25,3.0,8.59029241215959,physical_padded,phase0_default,"0,9,18,27,36",3.0585703488123275,1.0918464082502808,1.1093175489977316,blue-noise sparse 7-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n7_d1d25_mind3_s0.json,0.00031312359561980776,0.16668472110436727,0.5863002177685788,1.0,0.0002332137435512367,0.07085650407114172,1.0,0.5636619047619048,0.6571428571428571,0.3208690476190476,0.6406684412895594,0.6642857142857143,0.4003401360544218,0.09222445703821969,0.4177722071670575,0.0,0.2209213674068451,0.014893513172864914,0.46614930033683777,0.0919291079044342,1.8991506394514357e-06,1.3994841330853827e-06,540436.1253871877,714549.0087089039,-2.124569932985661
blue_noise_n7_d1d25_mind3_s1,blue_noise,7,1.25,3.0,8.59029241215959,physical_padded,phase0_default,"0,9,18,27,36",3.7134097348365778,1.2844563417593737,1.301558414172627,blue-noise sparse 7-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n7_d1d25_mind3_s1.json,0.0003719790389099383,0.14141282359661728,0.6888331624952249,1.0,0.0003154104600429245,0.04542020525506599,1.0,0.5111095238095239,0.6178571428571429,0.3434214285714286,0.5437000887311447,0.5607142857142857,0.39092724046140204,0.1328898510635823,0.5804344991144085,0.047619047619047616,0.18778088688850403,0.01616446115076542,0.5479599237442017,0.08869689702987671,2.077813210366738e-06,1.713907172167503e-06,488158.7981877678,583462.1712536181,-1.991558831093968
blue_noise_n7_d1d25_mind6_s0,blue_noise,7,1.25,6.0,8.59029241215959,physical_padded,phase0_default,"0,9,18,27,36",2.7509456052573764,0.9235788098008548,0.9428469622816212,blue-noise sparse 7-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n7_d1d25_mind6_s0.json,0.00026358884732956967,0.18944033785871936,0.34452572561008094,1.0,0.00025164906699522155,0.09600606902674817,1.0,0.6314797619047618,0.6964285714285714,0.38012619047619045,0.628142561372375,0.6535714285714286,0.2926796805678793,0.06817728004339711,0.5071642255236939,0.047619047619047616,0.19954219460487366,0.01371113583445549,0.45549845695495605,0.09457170963287354,2.564596715930014e-06,1.7499365099407395e-06,409433.6063806125,571449.3036286582,-2.2937684649206953
blue_noise_n7_d1d25_mind6_s1,blue_noise,7,1.25,6.0,8.59029241215959,physical_padded,phase0_default,"0,9,18,27,36",2.930034233463931,1.0588314531352805,1.086955550123716,blue-noise sparse 7-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n7_d1d25_mind6_s1.json,0.0003061380087658399,0.1806832378223001,0.44376321064399954,1.0,0.0002096376864080756,0.07353349309907024,1.0,0.5805928571428571,0.675,0.35105476190476187,0.661461106181603,0.6892857142857143,0.461483288967761,0.08091473153497206,0.2968569519082921,0.0,0.1982363611459732,0.01780194789171219,0.4632783830165863,0.09461110085248947,1.8688786489404726e-06,1.5550323077523123e-06,542680.816668628,643073.4557826829,-2.085494993290353
blue_noise_n9_d0d75_mind3_s0,blue_noise,9,0.75,3.0,3.9760782021995817,physical_padded,phase0_default,"0,9,18,27,36",1.4570848117057822,0.5363825714605059,0.5542850440051375,blue-noise sparse 9-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n9_d0d75_mind3_s0.json,0.00014564260736935983,0.1807196437518183,0.5551295854804281,1.0,0.00011146506641115239,0.06127198171547332,1.0,0.5773092592592594,0.6555555555555556,0.3135138888888889,0.6306303197607547,0.6527777777777778,0.36176673567977913,0.09445567262126242,0.45238534934006314,0.0,0.16738972067832947,0.018214058130979538,0.6186978816986084,0.14942459762096405,9.81631734567615e-07,8.583276850037952e-07,1030896.1159102207,1165056.210432707,-2.2596145454779974
blue_noise_n9_d0d75_mind3_s1,blue_noise,9,0.75,3.0,3.9760782021995817,physical_padded,phase0_default,"0,9,18,27,36",1.5003724554371907,0.5435954023180034,0.5595051121528659,blue-noise sparse 9-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n9_d0d75_mind3_s1.json,0.00014789942284898724,0.18528210940408937,0.4359406668319917,1.0,0.00012185422812985729,0.06309507150209819,1.0,0.5594509259259259,0.6611111111111111,0.3501916666666667,0.5969749252357948,0.6302777777777777,0.36622383252818036,0.10874030048693399,0.6921801673401647,0.05555555555555555,0.21255913376808167,0.018834471702575684,0.49235260486602783,0.1467691957950592,1.040592136224611e-06,9.570360120483348e-07,964048.1267586369,1044892.7599492414,-2.391707742321947
blue_noise_n9_d0d75_mind6_s1,blue_noise,9,0.75,6.0,3.9760782021995817,physical_padded,phase0_default,"0,9,18,27,36",1.1521709656896535,0.43899672476850693,0.4546802869621055,blue-noise sparse 9-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n9_d0d75_mind6_s1.json,0.00011525395439733987,0.23389280465650011,0.2799634852969343,1.0,8.401160430780042e-05,0.09190800451962822,1.0,0.6542703703703704,0.7612499999999992,0.39809722222222216,0.7224810213940648,0.7583333333333333,0.4224522659305268,0.07862157811619822,0.6020433131615628,0.027777777777777776,0.3041294813156128,0.016589762642979622,0.5861465930938721,0.15743131935596466,1.0575337048454817e-06,8.105621202169446e-07,968967.5462085322,1233711.735421775,-2.7052025875305956
blue_noise_n9_d1d25_mind3_s0,blue_noise,9,1.25,3.0,11.044661672776616,physical_padded,phase0_default,"0,9,18,27,36",3.93791743638584,1.3746683308905414,1.4233219877869376,blue-noise sparse 9-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n9_d1d25_mind3_s0.json,0.00040382234894698846,0.1756121924503443,0.5924825618814867,1.0,0.0003136046311683282,0.055257609900648666,1.0,0.5786212962962963,0.65,0.3157462962962963,0.6280940878766966,0.6472222222222223,0.3598056130664826,0.10449971571495555,0.4775818146690558,0.0,0.13868652284145355,0.017505820840597153,0.5295940041542053,0.09137699753046036,1.9450526606379785e-06,1.6469641160410473e-06,520080.1830441815,607177.7704567043,-2.141687980863308
blue_noise_n9_d1d25_mind3_s1,blue_noise,9,1.25,3.0,11.044661672776616,physical_padded,phase0_default,"0,9,18,27,36",4.0466238928603575,1.3951692464700494,1.4382491101133252,blue-noise sparse 9-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n9_d1d25_mind3_s1.json,0.00041038694207517774,0.17887565103968284,0.4945965558552694,1.0,0.00033797021014594556,0.05815063814624437,1.0,0.5606305555555555,0.6555555555555556,0.35021111111111114,0.5994306418219462,0.6277777777777778,0.3695997239475501,0.1209357097892407,0.6983121249764636,0.05555555555555555,0.13613973557949066,0.016164273023605347,0.43251898884773254,0.08074793964624405,2.0310479898433518e-06,1.8709864876831712e-06,493720.11646233045,534477.4035424984,-2.260735951869737
blue_noise_n9_d1d25_mind6_s1,blue_noise,9,1.25,6.0,11.044661672776616,physical_padded,phase0_default,"0,9,18,27,36",3.0922595198433513,1.1036820613846183,1.1469307912161808,blue-noise sparse 9-hole candidate,/home/venti/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n9_d1d25_mind6_s1.json,0.00031973350696514694,0.22625047877390078,0.28090137341444615,1.0,0.00023522010454593296,0.08430851080305024,1.0,0.6574685185185185,0.7722222222222223,0.3993175925925926,0.7215493443754313,0.7527777777777778,0.4187313089487002,0.08602714041249732,0.6047633427689045,0.027777777777777776,0.16714951395988464,0.016207179054617882,0.5482361316680908,0.08108379691839218,2.086817920502957e-06,1.5416009284226457e-06,492759.6678443635,648676.3088701512,-2.569908918482909
