candidate_id,family,hole_count,hole_diameter_mm,min_distance_mm,total_open_area_mm2,angle_set,angle_indices,throughput_detection_phantom,throughput_lumpy_phantom,throughput_heldout_phantom,comments,json_path,sensitivity_mean,sensitivity_cv,sensitivity_min_over_mean,active_voxel_fraction,roi_sensitivity_mean,roi_sensitivity_cv,roi_active_voxel_fraction,global_truncation_physical_mean,global_truncation_physical_p95,global_truncation_padded_mean,roi_truncation_physical_mean,roi_truncation_physical_p95,roi_truncation_padded_mean,overlap_mean,overlap_max,overlap_high_fraction,global_coherence_max,global_coherence_p95,roi_coherence_max,roi_coherence_p95,task_fisher_d2_mean,task_fisher_d2_min,task_crlb_mean,task_crlb_max,ranking_score
blue_noise_n3_d1d25_mind3_s1,blue_noise,3,1.25,3.0,3.6815538909255388,phase0_default,"0,9,18,27,36",3.3415202655326945,0.5968911988601322,0.7071799934791521,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind3_s1.json,0.0003026233215472655,0.13446078583813986,0.6082094637777654,1.0,0.0003568663509121364,0.06452453157164643,1.0,0.4889166666666667,0.6,0.2986666666666667,0.3824444444444444,0.4,0.086,0.023287153411039593,0.03835679183306404,0.0,0.08219219744205475,0.0,0.44975513219833374,0.06488937884569168,8.734187514615749e-05,6.999879326179085e-05,11670.271547316763,14285.960563063798,-1.1913896383491724
blue_noise_n3_d1d25_mind3_s1,blue_noise,3,1.25,3.0,3.6815538909255388,phase1,"1,10,19,28,37",3.330525350980505,0.5963227732414744,0.7111520642955936,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind3_s1.json,0.0003026193915701157,0.13455353928727443,0.3450963427035299,1.0,0.00035816091579643885,0.06918301911062973,1.0,0.48924999999999996,0.6,0.29825,0.37955555555555553,0.4,0.08399999999999999,0.023610273839206542,0.03830664041136517,0.0,0.14575299620628357,0.0,0.42083704471588135,0.10196133702993393,7.879224935984393e-05,5.754083775680022e-05,13437.941621271812,17378.961429559986,-1.2071323217551861
blue_noise_n3_d1d25_mind3_s1,blue_noise,3,1.25,3.0,3.6815538909255388,phase2,"2,11,20,29,38",3.3190190230417924,0.597356083581426,0.7160963234867624,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind3_s1.json,0.00030265583421387656,0.13486092251471837,0.3932034304314884,1.0,0.00035846019517050027,0.06898734964070985,1.0,0.48958333333333326,0.6,0.3011666666666667,0.3784444444444444,0.4,0.08288888888888889,0.024370619764722785,0.039270203892156574,0.0,0.20819924771785736,0.0,0.4954361915588379,0.11803364753723145,7.944520856279154e-05,5.694062389839123e-05,13662.713874725005,17562.15389884854,-1.2148732157024489
blue_noise_n3_d1d25_mind3_s1,blue_noise,3,1.25,3.0,3.6815538909255388,phase3,"3,12,21,30,39",3.31944928236628,0.6007931912867103,0.718902943869333,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind3_s1.json,0.00030277045214572185,0.13442060886921683,0.3400915316173923,1.0,0.0003577172492535754,0.06780491233429614,1.0,0.49224999999999997,0.6,0.3028333333333334,0.3804444444444444,0.4,0.08577777777777777,0.025002151625952224,0.04000229156977241,0.0,0.06792103499174118,0.0,0.2838168442249298,0.11602094769477844,7.471668619354213e-05,4.917725443179543e-05,14153.990379607192,20334.60410822473,-1.2207475678069877
blue_noise_n3_d1d25_mind3_s1,blue_noise,3,1.25,3.0,3.6815538909255388,phase4,"4,13,22,31,40",3.329436394003471,0.6027432235043664,0.7156382060843762,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind3_s1.json,0.0003025362514517974,0.1352977198949978,0.3404917893738107,1.0,0.0003580061381127312,0.06753382586957046,1.0,0.48708333333333337,0.6,0.30075,0.37888888888888883,0.4,0.08177777777777777,0.024254203713465605,0.03791628839584011,0.0,0.05567667633295059,0.0,0.26747915148735046,0.10582006722688675,7.15674069652374e-05,4.405910429535299e-05,14812.978622261464,22696.7846031648,-1.2046385637669443
blue_noise_n3_d1d25_mind6_s0,blue_noise,3,1.25,6.0,3.6815538909255388,phase0_default,"0,9,18,27,36",3.042952374151907,0.5846817836978925,0.689204263435907,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s0.json,0.00029198616401032197,0.19747444195539285,0.6056402276563745,1.0,0.00028437830583522076,0.11925854189901494,1.0,0.5075833333333333,0.6666666666666666,0.12416666666666665,0.5233333333333333,0.6,0.041999999999999996,0.06302847332495444,0.09882962269620867,0.0,0.050883859395980835,0.0,0.45368337631225586,0.19687503576278687,6.796684770149692e-05,4.826865920540938e-05,15344.435837654257,20717.37679193566,-1.6397264765049053
blue_noise_n3_d1d25_mind6_s0,blue_noise,3,1.25,6.0,3.6815538909255388,phase1,"1,10,19,28,37",3.045021076248934,0.5819753673633783,0.6953780128232188,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s0.json,0.0002917540038497595,0.1974618792401222,0.5163019948199106,1.0,0.0002841453119691537,0.12027219797664723,1.0,0.51475,0.6666666666666666,0.11825,0.5239999999999999,0.6,0.04044444444444444,0.06236962880629473,0.0961878874975706,0.0,0.0,0.0,0.6010839939117432,0.19184690713882446,5.9259546361904886e-05,3.848254929455831e-05,18466.91187185222,25985.804431657198,-1.644917207411269
blue_noise_n3_d1d25_mind6_s0,blue_noise,3,1.25,6.0,3.6815538909255388,phase2,"2,11,20,29,38",3.047623216152969,0.5812756700476105,0.6938548016396855,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s0.json,0.00029168299916701034,0.19768435816171778,0.6034021091613567,1.0,0.0002840538761979985,0.12116835617959222,1.0,0.517,0.6666666666666666,0.11825,0.5242222222222223,0.603333333333334,0.04066666666666668,0.062153955256010696,0.09500488089859352,0.0,0.025118917226791382,0.0,0.8175500631332397,0.14785432815551758,6.364676834828163e-05,4.155082618172465e-05,17957.940683239744,24066.910141002954,-1.6252468848670554
blue_noise_n3_d1d25_mind6_s0,blue_noise,3,1.25,6.0,3.6815538909255388,phase3,"3,12,21,30,39",3.053153251657884,0.5820118416310177,0.6905872747775184,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s0.json,0.00029184495665459564,0.19742790740580482,0.5087564319388749,1.0,0.0002843493586341708,0.12118064940028493,1.0,0.5067499999999999,0.6666666666666666,0.11925000000000001,0.524,0.6,0.03888888888888889,0.06366191971362929,0.10189301659955527,0.0,0.2700948119163513,0.0,0.47205784916877747,0.11218757927417755,5.999501818398572e-05,4.2657556558733435e-05,17851.2645879751,23442.50540049431,-1.600626232414561
blue_noise_n3_d1d25_mind6_s0,blue_noise,3,1.25,6.0,3.6815538909255388,phase4,"4,13,22,31,40",3.0516515002220608,0.5809872488769122,0.6884452029206183,blue-noise sparse 3-hole candidate,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/blue_noise_n3_d1d25_mind6_s0.json,0.0002918057502462935,0.19754240950080995,0.5804427982781598,1.0,0.000284266033824257,0.11960517199051077,1.0,0.5113333333333334,0.6666666666666666,0.11858333333333332,0.5235555555555556,0.6,0.04266666666666667,0.06469427481262241,0.10996435781686457,0.0,0.0,0.0,0.5289785265922546,0.12852756679058075,5.60475885411765e-05,3.866169826348296e-05,18512.56473122516,25865.392492200157,-1.6203086265596562
