candidate_id,family,hole_count,hole_diameter_mm,min_distance_mm,actual_min_distance_mm,mask_radius_mm,total_open_area_mm2,hole_centers_mm,comments,json_path
sparse_random_n5_d0d75_mind6_s1,sparse_random,5,0.75,6.0,6.774894307915383,9.0,2.2089323345553233,"[[0.0, 0.0], [-6.929030836089093, -0.42086421812752917], [7.598973995750613, -3.0943362717712333], [2.349296869350508, 6.594506643382415], [2.556963988630308, -7.61952444150771]]",random sparse 5-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d0d75_mind6_s1.json
sparse_random_n5_d1d25_mind3_s0,sparse_random,5,1.25,3.0,4.1327050721538905,9.0,6.135923151542564,"[[0.0, 0.0], [6.002568864203762, -1.4239285636427534], [8.25030447203517, 2.044058727379701], [-4.843252869672847, -3.4071974358810033], [3.72020116300338, 5.091539902454163]]",random sparse 5-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d1d25_mind3_s0.json
sparse_random_n5_d1d25_mind3_s1,sparse_random,5,1.25,3.0,3.023561096568373,9.0,6.135923151542564,"[[0.0, 0.0], [-5.006627363324546, 1.912863827850526], [-6.929030836089093, -0.42086421812752917], [7.598973995750613, -3.0943362717712333], [2.675130433460945, -4.206929227175763]]",random sparse 5-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d1d25_mind3_s1.json
sparse_random_n5_d1d25_mind6_s0,sparse_random,5,1.25,6.0,6.16914949761036,9.0,6.135923151542564,"[[0.0, 0.0], [6.002568864203762, -1.4239285636427534], [3.72020116300338, 5.091539902454163], [-2.722089269903368, -5.7275978537180405], [-5.6230403725478295, 3.7155600319117728]]",random sparse 5-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d1d25_mind6_s0.json
sparse_random_n5_d1d25_mind6_s1,sparse_random,5,1.25,6.0,6.774894307915383,9.0,6.135923151542564,"[[0.0, 0.0], [-6.929030836089093, -0.42086421812752917], [7.598973995750613, -3.0943362717712333], [2.349296869350508, 6.594506643382415], [2.556963988630308, -7.61952444150771]]",random sparse 5-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n5_d1d25_mind6_s1.json
sparse_random_n7_d0d75_mind3_s0,sparse_random,7,0.75,3.0,3.085772645634239,9.0,3.0925052683774528,"[[0.0, 0.0], [6.306054381093331, -5.118876824743573], [1.1160805007218426, 3.837203272421799], [-4.189792451734791, -5.885196997471282], [6.350196830765715, 6.022058208112947], [-8.226918455406917, -2.7890628997227656], [-1.4543963710607326, -4.457050960688793]]",random sparse 7-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n7_d0d75_mind3_s0.json
sparse_random_n7_d0d75_mind3_s1,sparse_random,7,0.75,3.0,3.395315920274773,9.0,3.0925052683774528,"[[0.0, 0.0], [0.12771665623817144, -7.434792852407389], [-7.123553600901184, -2.3526518154017277], [3.7578556126553964, -2.350117732265584], [-4.849109241966553, 1.0357710553041108], [-3.3530104963375758, 4.083698013385412], [2.8229689419921273, 7.095169455091258]]",random sparse 7-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n7_d0d75_mind3_s1.json
sparse_random_n7_d0d75_mind6_s0,sparse_random,7,0.75,6.0,6.339966885004592,9.0,3.0925052683774528,"[[0.0, 0.0], [6.306054381093331, -5.118876824743573], [2.327293736804326, 5.897362458386476], [-4.189792451734791, -5.885196997471282], [-8.115529677851969, 1.0078555470315302], [-4.5658534805015165, 6.825585191096255], [8.064518575206572, 1.4376330266707922]]",random sparse 7-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n7_d0d75_mind6_s0.json
sparse_random_n7_d1d25_mind3_s0,sparse_random,7,1.25,3.0,3.085772645634239,9.0,8.59029241215959,"[[0.0, 0.0], [6.306054381093331, -5.118876824743573], [1.1160805007218426, 3.837203272421799], [-4.189792451734791, -5.885196997471282], [6.350196830765715, 6.022058208112947], [-8.226918455406917, -2.7890628997227656], [-1.4543963710607326, -4.457050960688793]]",random sparse 7-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n7_d1d25_mind3_s0.json
sparse_random_n7_d1d25_mind3_s1,sparse_random,7,1.25,3.0,3.395315920274773,9.0,8.59029241215959,"[[0.0, 0.0], [0.12771665623817144, -7.434792852407389], [-7.123553600901184, -2.3526518154017277], [3.7578556126553964, -2.350117732265584], [-4.849109241966553, 1.0357710553041108], [-3.3530104963375758, 4.083698013385412], [2.8229689419921273, 7.095169455091258]]",random sparse 7-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n7_d1d25_mind3_s1.json
sparse_random_n7_d1d25_mind6_s0,sparse_random,7,1.25,6.0,6.339966885004592,9.0,8.59029241215959,"[[0.0, 0.0], [6.306054381093331, -5.118876824743573], [2.327293736804326, 5.897362458386476], [-4.189792451734791, -5.885196997471282], [-8.115529677851969, 1.0078555470315302], [-4.5658534805015165, 6.825585191096255], [8.064518575206572, 1.4376330266707922]]",random sparse 7-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n7_d1d25_mind6_s0.json
sparse_random_n9_d0d75_mind3_s0,sparse_random,9,0.75,3.0,3.163463970234505,9.0,3.9760782021995817,"[[0.0, 0.0], [-4.49189978698561, 1.5965850576204839], [-5.185444609031912, -5.887512569583286], [-2.91918829053411, 5.295407541309724], [0.01804441360075116, 6.4702131987409714], [0.7174231484395658, -5.765283533687086], [-6.825134880613376, 4.688081091040521], [4.4687192210003035, -5.8358308602271185], [-8.457293052621988, 0.49088054288643757]]",random sparse 9-hole candidate with minimum spacing,/Users/huahai/PARA/Project/XFCT/xfct_maskRecon/data/masks/candidates/sparse_random_n9_d0d75_mind3_s0.json
